source,target
19292162,535553
19292162,19194894
19292162,19728145
19292162,18850080
19292162,1728035
19292162,22817838
19292162,19997487
19292162,18855476
19292162,18955830
19292162,11294262
19292162,1360698
19292162,1179719
19292162,1457232
19292162,13560402
19292162,7151442
19292162,18506072
19292162,16477792
19292162,20947040
19292162,5618532
19292162,11625832
19292162,18837102
19292162,7130232
19292162,3173762
19292162,16487812
19292162,7836842
19292162,17467312
19292162,16447162
19292162,9376702
19292162,6707902
19292162,10178242
19292162,14546632
19292162,14649032
19292162,4705492
19292162,18616278
19292162,526316
19292162,10016242
19292162,19654655
21182471,1187715
21182471,25357512
21182471,19728145
21182471,7699922
21182471,20940321
21182471,18801828
21182471,1642477
21182471,18243826
21182471,18297014
21182471,1473660
18288648,21715712
18288648,18562307
18288648,541319
18288648,19728145
18288648,7836842
18288648,17467312
18288648,1697586
18288648,18955830
18288648,4063542
18288648,18767675
18288648,339011
18288648,18556100
18288648,16062152
18288648,1417288
18288648,22985677
18288648,1457232
18288648,19266390
18288648,18506072
18288648,1498076
18288648,21174496
18288648,20947040
18288648,18529135
18288648,19094001
18288648,18243826
18288648,15297782
18288648,18414590
20064276,1358081
20064276,6928642
20064276,18456837
20064276,12847372
20064276,19728145
20064276,19262745
20064276,19416348
20064276,2520612
20064276,1585196
20064276,18955830
20064276,20181560
20064276,3636792
20064276,339011
20064276,1665349
20064276,19049542
20064276,1179719
20064276,1431882
20064276,24584525
20064276,1457232
20064276,5282132
20064276,1371991
20064276,21933145
20064276,20377949
20064276,20129636
20064276,19934054
20064276,24153712
20064276,24811380
20064276,929402
20064276,1473660
20064276,1187715
20064276,10426762
20064276,1492619
20064276,20068490
20064276,6230672
20064276,19713173
20064276,18801828
20064276,20186791
20064276,23723436
20064276,18589616
20064276,18297014
20064276,4126912
20064276,18953664
20064276,20384452
20064276,1751502
20064276,24675279
20064276,7699922
20064276,6284242
20064276,4705492
20064276,1576921
20064276,11077852
20064276,20836828
20064276,22197221
20064276,22422502
20064276,20197351
20064276,1642477
20064276,18361585
20064276,18243826
20064276,14566132
20064276,11776502
20064276,6629622
20064276,18256892
20064276,18414590
19275797,535553
19275797,16487812
19275797,18456837
19275797,11862932
19275797,18494105
19275797,4631582
19275797,1728035
19275797,20186791
19275797,6641192
19275797,7836842
19275797,19997487
19275797,17467312
19275797,405938
19275797,18855476
19275797,9376702
19275797,10178242
19275797,19904711
19275797,227528
19275797,14546632
19275797,19030621
19275797,10016242
19275797,7130232
20135961,18562307
20135961,11375762
20135961,21390741
20135961,19713173
20135961,19249559
20135961,18506072
20135961,19847832
20135961,3870752
20135961,6190702
20135961,19828207
20135961,8908602
3870752,16487812
3870752,19728145
3870752,18494105
3870752,20186791
3870752,1451826
3870752,16447162
3870752,1526075
3870752,18180033
3870752,339011
3870752,14649032
3870752,2542802
3870752,18506072
3870752,11625832
3870752,526316
3870752,16877932
21143591,1772099
21143591,227528
21143591,20806988
21143591,19728145
21143591,4705492
21143591,21933145
21143591,21174496
21143591,22730657
21143591,20336043
21143591,15552112
21143591,18243826
21143591,18297014
21143591,18955830
1585196,1102353
1585196,23816722
1585196,2556962
1585196,2520612
1585196,20583464
1585196,6641192
1585196,18955830
1585196,20181560
1585196,18567736
1585196,22023226
1585196,339011
1585196,1772099
1585196,1179719
1585196,1417288
1585196,18604107
1585196,168014
1585196,13560402
1585196,19030621
1585196,16477792
1585196,20166757
1585196,1507431
